name,Ex_real,Ex_imag,Ey_real,Ey_imag,S0,S1,S2,S3
x,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
y,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0
45,0.7071067811865476,0.0,0.7071067811865476,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0
sigma_plus,0.7071067811865476,0.0,0.0,0.7071067811865476,1.0000000000000002,0.0,0.0,1.0000000000000002
sigma_minus,0.7071067811865476,0.0,-0.0,-0.7071067811865476,1.0000000000000002,0.0,-0.0,-1.0000000000000002
after_QWP_45,0.7071067811865477,-5.551115123125783e-17,0.7071067811865475,5.551115123125783e-17,1.0,3.3306690738754696e-16,1.0000000000000002,1.5700924586837752e-16
